step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
1,5.0000000000e+00,6.1312500001e+07,6.9970316443e+07,7.9999999996e-02,8.1626135885e-02,-3.6608195623e+07,-3.5181112485e+07,-3.9442178657e-10,3.6805394230e-02,3,2
2,1.0000000000e+01,6.1312500006e+07,6.9985229492e+07,7.9999999964e-02,8.1695482971e-02,-3.6574435648e+07,-3.5181112351e+07,-8.7348469179e-04,8.4140497192e-03,3,2
3,1.5000000000e+01,6.1312500033e+07,6.9988925960e+07,7.9999999820e-02,8.1715117466e-02,-3.6569888410e+07,-3.5181111738e+07,-1.1776055117e-04,4.2964514477e-03,3,2
4,2.0000000000e+01,6.1312500119e+07,6.9990773703e+07,7.9999999370e-02,8.1724888485e-02,-3.6571086305e+07,-3.5181109761e+07,-4.6878415184e-08,2.8717062286e-03,3,2
5,2.5000000000e+01,6.1312500341e+07,6.9991927936e+07,7.9999998253e-02,8.1730966268e-02,-3.6573149649e+07,-3.5181104721e+07,-1.1947665592e-07,2.1613067676e-03,3,2
6,3.0000000000e+01,6.1312500818e+07,6.5050404952e+07,7.9999995917e-02,8.0791791478e-02,-3.5867369170e+07,-3.5145012973e+07,-3.4072122156e-02,1.0083342238e-03,3,2
7,3.5000000000e+01,6.1312501717e+07,6.4026931580e+07,7.9999991641e-02,8.0567511042e-02,-3.5655895126e+07,-3.5180247638e+07,-7.3835763255e-03,8.3748573547e-04,3,2
8,4.0000000000e+01,6.1312503235e+07,6.3463615900e+07,7.9999984615e-02,8.0447369052e-02,-3.5551483818e+07,-3.5181039656e+07,-3.3640644325e-03,4.1248314556e-04,3,2
9,4.5000000000e+01,6.1312505573e+07,6.3101713318e+07,7.9999974064e-02,8.0370784854e-02,-3.5486011104e+07,-3.5180987541e+07,-1.9917127916e-03,2.9707241881e-04,3,2
10,5.0000000000e+01,6.1312508905e+07,6.2846548381e+07,7.9999959385e-02,8.0317054477e-02,-3.5440897461e+07,-3.5180913639e+07,-1.3355521537e-03,2.2452904461e-04,3,2
11,5.5000000000e+01,6.1312513346e+07,6.2656559455e+07,7.9999940249e-02,8.0277204474e-02,-3.5407708327e+07,-3.5180815571e+07,-9.6551866713e-04,1.7572463002e-04,3,2
