time_days,production_rate,production_accumulated
5.000000000000000000e+00,4.996576131098101840e-08,2.158520888634379853e-02
1.000000000000000000e+01,4.630921007204377793e-07,2.216409963975729258e-01
1.500000000000000000e+01,2.259484273755353220e-06,1.197738202659885509e+00
2.000000000000000000e+01,7.742755492542416733e-06,4.542608575438209506e+00
2.500000000000000000e+01,2.096223720271076470e-05,1.359829504700925895e+01
3.000000000000000000e+01,4.779496180895155782e-05,3.424571854847633290e+01
3.500000000000000000e+01,9.549986018395886702e-05,7.550165814794655716e+01
4.000000000000000000e+01,1.717881821706453247e-04,1.497141528456653532e+02
4.500000000000000000e+01,2.836298744546004503e-04,2.722422586100527724e+02
5.000000000000000000e+01,4.361020932168616451e-04,4.606383628797369738e+02
5.500000000000000000e+01,6.315555266831291911e-04,7.334703504068488655e+02
6.000000000000000000e+01,5.135668084255188859e+01,2.218681959433282167e+07
6.500000000000000000e+01,3.430979415623725970e+01,3.700865066982731968e+07
7.000000000000000000e+01,2.788227834233975599e+01,4.905379491371809691e+07
7.500000000000000000e+01,2.428196700928507212e+01,5.954360466172924638e+07
8.000000000000000000e+01,2.188762379734674468e+01,6.899905814218303561e+07
8.500000000000000000e+01,2.013971088311140534e+01,7.769941324368716776e+07
9.000000000000000000e+01,4.360614587411070886e+00,7.958319874544875324e+07
9.500000000000000000e+01,1.773395195513152833e+00,8.034930546991042793e+07
1.000000000000000000e+02,1.080506141951542931e+00,8.081608412323349714e+07
1.050000000000000000e+02,7.619529879436501840e-01,8.114524781402514875e+07
1.100000000000000000e+02,5.791169413184269477e-01,8.139542633267471194e+07
1.150000000000000000e+02,4.612118415273239735e-01,8.159466984821452200e+07
1.200000000000000000e+02,3.794348646304590011e-01,8.175858570973488688e+07
1.250000000000000000e+02,3.197842449932771780e-01,8.189673250357198715e+07
1.300000000000000000e+02,2.746245036868213973e-01,8.201537028916469216e+07
1.350000000000000000e+02,2.394405714671737906e-01,8.211880861603851616e+07
1.400000000000000000e+02,2.113956296058321638e-01,8.221013152802823484e+07
1.450000000000000000e+02,1.886205537404792298e-01,8.229161560724411905e+07
1.500000000000000000e+02,3.747439728531263370e+01,9.848055523449917138e+07
1.550000000000000000e+02,2.525886102599755034e+01,1.093923831977301091e+08
1.600000000000000000e+02,2.076503591472351218e+01,1.183628787128906697e+08
1.650000000000000000e+02,1.831503368503025797e+01,1.262749732648237348e+08
1.700000000000000000e+02,1.671951870289603193e+01,1.334978053444748223e+08
1.750000000000000000e+02,1.557259876901957618e+01,1.402251680126912892e+08
1.800000000000000000e+02,3.353098821699560528e+00,1.416737067036654949e+08
1.850000000000000000e+02,1.454924824815682749e+00,1.423022342279858589e+08
1.900000000000000000e+02,9.250955317407981715e-01,1.427018754976978898e+08
1.950000000000000000e+02,6.760743416405939898e-01,1.429939396132866144e+08
2.000000000000000000e+02,5.305255161049604595e-01,1.432231266362439692e+08
2.050000000000000000e+02,4.350223524822310894e-01,1.434110562925162911e+08
2.100000000000000000e+02,3.676307728917568851e-01,1.435698727864055336e+08
2.150000000000000000e+02,3.176158768696054624e-01,1.437070828452132046e+08
2.200000000000000000e+02,2.790886497252837439e-01,1.438276491418945193e+08
2.250000000000000000e+02,2.485468016402803682e-01,1.439350213602031171e+08
2.300000000000000000e+02,2.237772969489627561e-01,1.440316931524850726e+08
2.350000000000000000e+02,2.033135660505942799e-01,1.441195246130189300e+08
2.400000000000000000e+02,3.191801424010188981e+01,1.579081067647429407e+08
2.450000000000000000e+02,2.151658611186765313e+01,1.672032719650697708e+08
2.500000000000000000e+02,1.772710044299900645e+01,1.748613793564453423e+08
2.550000000000000000e+02,1.568781585542623525e+01,1.816385158059894741e+08
2.600000000000000000e+02,1.437554906089589224e+01,1.878487530002965033e+08
2.650000000000000000e+02,1.344218340724538940e+01,1.936557762322265208e+08
2.700000000000000000e+02,2.879735004732531412e+00,1.948998217542709708e+08
2.750000000000000000e+02,1.286044313274852025e+00,1.954553928976057172e+08
2.800000000000000000e+02,8.325332542035871475e-01,1.958150472634216547e+08
2.850000000000000000e+02,6.174099431240811509e-01,1.960817683588512540e+08
2.900000000000000000e+02,4.908383150292082164e-01,1.962938105109438598e+08
2.950000000000000000e+02,4.072988699602561602e-01,1.964697636227667034e+08
3.000000000000000000e+02,3.480151760683584117e-01,1.966201061788282394e+08
3.050000000000000000e+02,3.037682969148070566e-01,1.967513340830954313e+08
3.100000000000000000e+02,2.694888082292641873e-01,1.968677532482504845e+08
3.150000000000000000e+02,2.421562311935460121e-01,1.969723647401261032e+08
3.200000000000000000e+02,2.198591174499482936e-01,1.970673438788644671e+08
3.250000000000000000e+02,2.013291642788522517e-01,1.971543180778329372e+08
3.300000000000000000e+02,2.874740661019990640e+01,2.095731977334392965e+08
3.350000000000000000e+02,1.936112083572221465e+01,2.179372019344712794e+08
3.400000000000000000e+02,1.595885516335296472e+01,2.248314273650397658e+08
3.450000000000000000e+02,1.414131406293581961e+01,2.309404750402280390e+08
3.500000000000000000e+02,1.297988819012732087e+01,2.365477867383630276e+08
3.550000000000000000e+02,1.215916861023379703e+01,2.418005475779840350e+08
3.600000000000000000e+02,2.594748308476190868e+00,2.429214788472457528e+08
3.650000000000000000e+02,1.178471646379711579e+00,2.434305785984817743e+08
