step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
1,5.0000000000e+00,6.1312500183e+07,7.0000000000e+07,8.0000000034e-02,8.1631741591e-02,-3.6613071326e+07,-3.5181112524e+07,5.2915854780e-10,3.6940996488e-02,3,2
2,1.0000000000e+01,6.1312501882e+07,7.0000000000e+07,8.0000000354e-02,8.1698495741e-02,-3.6576741241e+07,-3.5181112750e+07,-9.4011578500e-04,8.4195215152e-03,3,2
3,1.5000000000e+01,6.1312510178e+07,7.0000000000e+07,8.0000001931e-02,8.1717381941e-02,-3.6571633618e+07,-3.5181113881e+07,-1.3228704390e-04,4.2970597724e-03,3,2
4,2.0000000000e+01,6.1312538624e+07,7.0000000000e+07,8.0000007385e-02,8.1726775357e-02,-3.6572555534e+07,-3.5181117839e+07,9.3846257350e-08,2.8719916926e-03,3,2
5,2.5000000000e+01,6.1312615672e+07,7.0000000000e+07,8.0000022268e-02,8.1732616936e-02,-3.6574443793e+07,-3.5181128762e+07,2.5894480246e-07,2.1612900347e-03,3,2
6,3.0000000000e+01,6.1312791415e+07,6.7881195999e+07,8.0000056440e-02,8.1344318348e-02,-3.6250744592e+07,-3.5181154091e+07,-8.8313830866e-03,1.4167972965e-03,3,2
7,3.5000000000e+01,6.1313142695e+07,6.6996930989e+07,8.0000125140e-02,8.1163579448e-02,-3.6108801127e+07,-3.5181205464e+07,-3.5802116357e-03,1.0067020424e-03,3,2
8,4.0000000000e+01,6.1313774788e+07,6.6428556980e+07,8.0000249387e-02,8.1046764672e-02,-3.6016818683e+07,-3.5181299116e+07,-2.3056351836e-03,7.6091068076e-04,3,2
9,4.5000000000e+01,6.1314818695e+07,6.6013840828e+07,8.0000455506e-02,8.0961557927e-02,-3.5949496741e+07,-3.5181455592e+07,-1.6806068053e-03,5.9985415877e-04,3,2
10,5.0000000000e+01,6.1316424190e+07,6.5691020162e+07,8.0000773772e-02,8.0895283108e-02,-3.5896990686e+07,-3.5181698753e+07,-1.3061420248e-03,4.8883520551e-04,3,2
11,5.5000000000e+01,6.1318749778e+07,6.5429317219e+07,8.0001236412e-02,8.0841592384e-02,-3.5854368575e+07,-3.5182054251e+07,-1.0571583295e-03,4.0833028638e-04,3,2
12,6.0000000000e+01,1.0000000000e+07,6.5211053067e+07,7.0032430839e-02,8.0796838460e-02,-3.5818791017e+07,-2.4024585810e+07,-9.9315743891e-02,3.4624962107e-04,3,2
13,6.5000000000e+01,1.0000000000e+07,6.5025118444e+07,6.9657762808e-02,8.0758730848e-02,-3.5788465012e+07,-2.4336146565e+07,-2.4074710321e-02,2.3846243244e-03,3,2
14,7.0000000000e+01,1.0000000000e+07,6.4864071458e+07,6.9562687545e-02,8.0725736470e-02,-3.5762186118e+07,-2.4601331143e+07,-1.3178057649e-02,1.9008050936e-03,3,2
15,7.5000000000e+01,1.0000000000e+07,6.4722667468e+07,6.9522167306e-02,8.0696775881e-02,-3.5739103879e+07,-2.4786168134e+07,-8.8820351472e-03,1.2738272408e-03,3,2
