time_days,production_rate,production_accumulated
5.000000000000000000e+00,2.372362156850348322e-07,1.024860451759350422e-01
1.000000000000000000e+01,1.988982725813906175e-06,9.617265827275425227e-01
1.500000000000000000e+01,8.831430429492802926e-06,4.776904528268433481e+00
2.000000000000000000e+01,2.768704141976339585e-05,1.673770642160621946e+01
2.500000000000000000e+01,6.892821625187822232e-05,4.651469584241760913e+01
3.000000000000000000e+01,1.452130341017656215e-04,1.092467265743803608e+02
3.500000000000000000e+01,2.692747477320933756e-04,2.255734175946446953e+02
4.000000000000000000e+01,4.513144754444366647e-04,4.205412709866413365e+02
4.500000000000000000e+01,6.967931453061702212e-04,7.215559097589068642e+02
5.000000000000000000e+01,1.005235868871570551e-03,1.155817805111425287e+03
5.500000000000000000e+01,1.370265841390241619e-03,1.747772648592009773e+03
6.000000000000000000e+01,5.373263141547894151e+01,2.321424454413549602e+07
6.500000000000000000e+01,3.554123506953867206e+01,3.856805809417620301e+07
7.000000000000000000e+01,2.873965599712183661e+01,5.098358948493283987e+07
7.500000000000000000e+01,2.495169643622516986e+01,6.176272234538210928e+07
8.000000000000000000e+01,2.244309712352912456e+01,7.145814030274668336e+07
8.500000000000000000e+01,2.061780558420270282e+01,8.036503231512224674e+07
9.000000000000000000e+01,4.241798551741895018e+00,8.219748928947474062e+07
9.500000000000000000e+01,1.727905183034791570e+00,8.294394432854576409e+07
1.000000000000000000e+02,1.050207065842148069e+00,8.339763378098957241e+07
1.050000000000000000e+02,7.384291288946825960e-01,8.371663516467207670e+07
1.100000000000000000e+02,5.597510344191681808e-01,8.395844761154115200e+07
1.150000000000000000e+02,4.447579930791497604e-01,8.415058306455133855e+07
1.200000000000000000e+02,3.651694724093799693e-01,8.430833627663218975e+07
1.250000000000000000e+02,3.072399127780989225e-01,8.444106391895233095e+07
1.300000000000000000e+02,2.634789855232440026e-01,8.455488684069837630e+07
1.350000000000000000e+02,2.294609451663487953e-01,8.465401396901023388e+07
1.400000000000000000e+02,2.024064432518096202e-01,8.474145355249501765e+07
1.450000000000000000e+02,1.804841315069210250e-01,8.481942269730600715e+07
1.500000000000000000e+02,3.928311948477101367e+01,1.017897303147270828e+08
1.550000000000000000e+02,2.622027044562128850e+01,1.131168871472354829e+08
1.600000000000000000e+02,2.144755211755658664e+01,1.223822296620199233e+08
1.650000000000000000e+02,1.885773103260466144e+01,1.305287694681051373e+08
1.700000000000000000e+02,1.717689814733817499e+01,1.379491894677552283e+08
1.750000000000000000e+02,1.597191880216612780e+01,1.448490583902910054e+08
1.800000000000000000e+02,3.294336335329117738e+00,1.462722116871531904e+08
1.850000000000000000e+02,1.432836046841225786e+00,1.468911968593885899e+08
1.900000000000000000e+02,9.097450255856728285e-01,1.472842067104415894e+08
1.950000000000000000e+02,6.634295138279314719e-01,1.475708082604152560e+08
2.000000000000000000e+02,5.194924904246920327e-01,1.477952290162787139e+08
2.050000000000000000e+02,4.251212290874784028e-01,1.479788813872444928e+08
2.100000000000000000e+02,3.585936969962336129e-01,1.481337938643468618e+08
2.150000000000000000e+02,3.092738451439204228e-01,1.482674001654490232e+08
2.200000000000000000e+02,2.713278000831282344e-01,1.483846137750849426e+08
2.250000000000000000e+02,2.412871587571891185e-01,1.484888498276680410e+08
2.300000000000000000e+02,2.169604493676406398e-01,1.485825767417948544e+08
2.350000000000000000e+02,1.968946313849007090e-01,1.486676352225531340e+08
2.400000000000000000e+02,3.343506008085000047e+01,1.631115811774803400e+08
2.450000000000000000e+02,2.232569137449008778e+01,1.727562798512600660e+08
2.500000000000000000e+02,1.830389657683204874e+01,1.806635631724514961e+08
2.550000000000000000e+02,1.614851243768607247e+01,1.876397205455318689e+08
2.600000000000000000e+02,1.476539031438255734e+01,1.940183691613451242e+08
2.650000000000000000e+02,1.378368850619571973e+01,1.999729225960216820e+08
2.700000000000000000e+02,2.839356102530798509e+00,2.011995244323149920e+08
2.750000000000000000e+02,1.271311534629660178e+00,2.017487310152750015e+08
2.800000000000000000e+02,8.221792784636038354e-01,2.021039124635712802e+08
2.850000000000000000e+02,6.086355477136267123e-01,2.023668430201835632e+08
2.900000000000000000e+02,4.829500437776813038e-01,2.025754774390955269e+08
2.950000000000000000e+02,4.000164027341399642e-01,2.027482845250766873e+08
3.000000000000000000e+02,3.411911168143328399e-01,2.028956790875404775e+08
3.050000000000000000e+02,2.973144332383831356e-01,2.030241189226994514e+08
3.100000000000000000e+02,2.633495079602100053e-01,2.031378859101382494e+08
3.150000000000000000e+02,2.362959931439184147e-01,2.032399657791764140e+08
3.200000000000000000e+02,2.142552347318867345e-01,2.033325240405806005e+08
3.250000000000000000e+02,1.959666153379758802e-01,2.034171816184065938e+08
3.300000000000000000e+02,3.005838070456317723e+01,2.164024020827778876e+08
3.350000000000000000e+02,2.005563893172582368e+01,2.250664381012834311e+08
3.400000000000000000e+02,1.645230033365905342e+01,2.321738318454241455e+08
3.450000000000000000e+02,1.453485707855799980e+01,2.384528901033611894e+08
3.500000000000000000e+02,1.331269665087935472e+01,2.442039750565410852e+08
3.550000000000000000e+02,1.245066279427176958e+01,2.495826613836664855e+08
3.600000000000000000e+02,2.560686210341382996e+00,2.506888778265339732e+08
3.650000000000000000e+02,1.166342304829284027e+00,2.511927377022202313e+08
