step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
1,5.0000000000e+00,6.1312501064e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
2,1.0000000000e+01,6.1312509993e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
3,1.5000000000e+01,6.1312549656e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
4,2.0000000000e+01,6.1312674055e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
5,2.5000000000e+01,6.1312983874e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
6,3.0000000000e+01,6.1313636803e+07,6.7853378902e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
7,3.5000000000e+01,6.1314847932e+07,6.6963180308e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
8,4.0000000000e+01,6.1316878406e+07,6.6392767317e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
9,4.5000000000e+01,6.1320014122e+07,6.5977404408e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
10,5.0000000000e+01,6.1324539035e+07,6.5654560518e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
11,5.5000000000e+01,6.1330708582e+07,6.5393139957e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
12,6.0000000000e+01,1.0000000000e+07,6.5175310745e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
13,6.5000000000e+01,1.0000000000e+07,6.4989866430e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
14,7.0000000000e+01,1.0000000000e+07,6.4829260539e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
15,7.5000000000e+01,1.0000000000e+07,6.4688087859e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
16,8.0000000000e+01,1.0000000000e+07,6.4562232229e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
17,8.5000000000e+01,1.0000000000e+07,6.4448367213e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
18,9.0000000000e+01,2.3895824749e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
19,9.5000000000e+01,2.9357109483e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
20,1.0000000000e+02,3.2787630207e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
21,1.0500000000e+02,3.5271002400e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
22,1.1000000000e+02,3.7197382029e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
23,1.1500000000e+02,3.8756801205e+07,7.0000000000e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
24,1.2000000000e+02,4.0057088202e+07,6.8460559964e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
25,1.2500000000e+02,4.1165493418e+07,6.7759364519e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
26,1.3000000000e+02,4.2126787427e+07,6.7266979800e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
27,1.3500000000e+02,4.2972245160e+07,6.6873948534e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
28,1.4000000000e+02,4.3724538654e+07,6.6538812839e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
29,1.4500000000e+02,4.4400591562e+07,6.6240995280e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,1
30,1.5000000000e+02,1.0000000000e+07,6.5968789933e+07,8.0000000000e-02,8.0000000000e-02,-2.5138125000e+07,-2.5138125000e+07,0.0000000000e+00,0.0000000000e+00,2,2
