step,time_days,p_min,p_max,phi_min,phi_max,sigma_T_min,sigma_T_max,source_rate_min,source_rate_max,fixed_stress_iterations,pressure_newton_iterations
1,5.0000000000e+00,1.0000000000e+07,7.0000000000e+07,7.0032407888e-02,8.1631741935e-02,-3.6613071308e+07,-2.4025144743e+07,-9.9295561804e-02,3.6940996696e-02,4,2
2,1.0000000000e+01,1.0000000000e+07,7.0000000000e+07,6.9657759135e-02,8.1698496163e-02,-3.6576741227e+07,-2.4336865684e+07,-2.4075102047e-02,8.4195136801e-03,4,2
3,1.5000000000e+01,1.0000000000e+07,7.0000000000e+07,6.9562688337e-02,8.1717382008e-02,-3.6571632817e+07,-2.4602278207e+07,-1.3184628226e-02,4.2969040104e-03,4,2
4,2.0000000000e+01,1.0000000000e+07,7.0000000000e+07,6.9522171688e-02,8.1726774161e-02,-3.6572552204e+07,-2.4787395104e+07,-8.8942225985e-03,2.8711569058e-03,4,2
5,2.5000000000e+01,1.0000000000e+07,7.0000000000e+07,6.9500052295e-02,8.1732612406e-02,-3.6574434382e+07,-2.4923655556e+07,-6.7016798553e-03,2.1584601710e-03,3,2
6,3.0000000000e+01,1.0000000000e+07,6.7880509455e+07,6.9486223472e-02,8.1344182403e-02,-3.6250629214e+07,-2.5029382754e+07,-8.8345048840e-03,1.4041443269e-03,3,2
7,3.5000000000e+01,1.0000000000e+07,6.6995128720e+07,6.9476829950e-02,8.1163219724e-02,-3.6108500880e+07,-2.5114748875e+07,-4.5123004929e-03,9.7158099616e-04,3,2
8,4.0000000000e+01,1.0000000000e+07,6.6424811965e+07,6.9470087250e-02,8.1046014410e-02,-3.6016196582e+07,-2.5185754334e+07,-3.8791953727e-03,6.8272131698e-04,3,2
9,4.5000000000e+01,1.0000000000e+07,6.6006927328e+07,6.9465055223e-02,8.0960169538e-02,-3.5948349342e+07,-2.5246168563e+07,-3.4018163985e-03,4.6242937162e-04,3,2
10,5.0000000000e+01,1.0000000000e+07,6.5679260271e+07,6.9461190719e-02,8.0892917065e-02,-3.5895041757e+07,-2.5298489001e+07,-3.0261501098e-03,3.2666375271e-04,3,2
11,5.5000000000e+01,1.0000000000e+07,6.5410542844e+07,6.9458157668e-02,8.0837809307e-02,-3.5851260816e+07,-2.5344444342e+07,-2.7214725308e-03,2.8450527881e-04,3,2
12,6.0000000000e+01,1.0000000000e+07,6.5182591181e+07,6.9455736831e-02,8.0791095954e-02,-3.5814084368e+07,-2.5385275201e+07,-2.4689806921e-03,2.5089724763e-04,3,2
13,6.5000000000e+01,1.0000000000e+07,6.4983802667e+07,6.9453779070e-02,8.0750385696e-02,-3.5781638665e+07,-2.5421899298e+07,-2.2560443051e-03,2.2355092918e-04,3,2
14,7.0000000000e+01,1.0000000000e+07,6.4806282539e+07,6.9452179417e-02,8.0714052714e-02,-3.5752645274e+07,-2.5455013231e+07,-2.0739704081e-03,2.0091486378e-04,3,2
15,7.5000000000e+01,1.0000000000e+07,6.4644404737e+07,6.9450861883e-02,8.0680939209e-02,-3.5726191592e+07,-2.5485157648e+07,-1.9170190645e-03,1.8190460283e-04,3,2
16,8.0000000000e+01,1.0000000000e+07,6.4494023087e+07,6.9449770132e-02,8.0650192406e-02,-3.5701604308e+07,-2.5512760379e+07,-1.7810180677e-03,1.6574179507e-04,3,2
17,8.5000000000e+01,1.0000000000e+07,6.4352007552e+07,6.9448861532e-02,8.0621168789e-02,-3.5678374738e+07,-2.5538165783e+07,-1.6617594321e-03,1.5185465015e-04,3,2
